code,code_label,sub_id,mechanism,description,respondent_phrasing,sources,counted
2,Widespread violence or breakdown of public order,2.6,Kidnapping for ransom,"Abduction as an economic activity, producing pre-emptive flight.","They were taking people from the road for money, so we moved to the town.",ACLED Abduction/forced disappearance,partial
2,Widespread violence or breakdown of public order,2.7,Collapse of policing - no protection available,Not an event but an absence. Nothing in event data records the non-arrival of police.,There was nobody to stop it and nobody to complain to.,none,no
3,Discrimination or persecution,3.1,"Screening by ethnicity, tribe or language at checkpoints",Identity checked at a barrier and treatment decided by the answer.,At the checkpoint they asked what tribe we were.,"qualitative: HRW El Geneina, Juba",no
3,Discrimination or persecution,3.2,Collective expulsion ultimatum,A group given hours or days to leave on the basis of who they are.,They gave all of us of our religion one day to be out of the town.,"qualitative: HRW Yaloke, Western Tigray",no
3,Discrimination or persecution,3.3,Religious persecution,"Conversion demanded, worship prevented, places of worship destroyed.","They said we had to convert or go, and they burned the church.",DTM Religious persecution; V-Dem v2clrelig,partial
3,Discrimination or persecution,3.4,Political persecution,"Targeted for party affiliation, voting, activism or association.","My son worked at the polling table for the opposition, and then they marked our door.",V-Dem; UNHCR recognition,partial
3,Discrimination or persecution,3.5,Language or regional identity targeting,"Persecuted for the language spoken or the region of origin, not ethnicity as usually defined.",They called us names because we speak English and said we were all with the fighters.,qualitative: HRW Cameroon,no
3,Discrimination or persecution,3.6,"Clan, caste or minority-group subordination",Groups without armed protection dispossessed by stronger ones; ascribed inferior status.,"We are from a small group with no gunmen of our own, so a stronger group took our farm.",qualitative: HRW/NRC Somalia,no
3,Discrimination or persecution,3.7,Denial or removal of nationality,"Citizenship legally withheld, making a whole population expellable.",They said we do not belong to this country and we have no citizenship card.,qualitative: Myanmar 1982 law,no
3,Discrimination or persecution,3.8,Persecution on grounds of sexual orientation or gender identity,"Criminalisation, mob violence, family expulsion, blackmail.",People found out about me and I could not stay in my own family's area.,"qualitative: Colombia JEP, Afghanistan",no
3,Discrimination or persecution,3.9,Identity documents seized or withheld,"Papers taken so that return, movement or proof of ownership becomes impossible.",They took our identity papers before they let us cross.,qualitative: HRW Western Tigray,no
3,Discrimination or persecution,3.10,Targeted on a misattributed identity,"Attacked for an identity the attacker assigned, not one held. A question about the respondent's own group membership can miss this entirely.","They killed anyone carrying a government card - it was the paper, not who we were.",qualitative: Crisis Group Mozambique,no
3,Discrimination or persecution,3.11,"Discriminatory denial of aid, services or land rights","Not violence, but exclusion severe enough that staying is untenable.","We were not allowed to register for the food, and could not get work.",V-Dem v2clsocgrp,partial
4,Threat of human rights violations by authorities,4.1,Arbitrary arrest and detention,Held without charge or trial; families flee before the next round.,They took my brother and he has never been to court.,ACLED Arrests; V-Dem,partial
4,Threat of human rights violations by authorities,4.2,Torture or ill-treatment in custody,Released detainees and their families leave.,They beat him for months and when they let him out they kept watching him.,V-Dem v2cltort,partial
4,Threat of human rights violations by authorities,4.3,Enforced disappearance,Taken by officials or men in uniform and never accounted for.,Men in uniform came at night and we never saw him again.,ACLED Abduction/forced disappearance,partial
4,Threat of human rights violations by authorities,4.4,Extrajudicial killing by state forces,The one part of code 4 that global data does count.,The soldiers shot people in the street during the operation.,UCDP one-sided (gov); V-Dem v2clkill,yes
4,Threat of human rights violations by authorities,4.5,Confiscation or destruction of property by authorities,"Named explicitly in the option, and almost entirely uncounted.",They put a seal on the house and said it was taken.,V-Dem v2xcl_prpty; qualitative,partial
4,Threat of human rights violations by authorities,4.6,Punitive demolition of homes,Housing destroyed as collective punishment rather than for a project.,They destroyed our part of the neighbourhood because of who lived there.,qualitative: HRW Syria,no
4,Threat of human rights violations by authorities,4.7,Eviction from a displacement site by authorities,"Being displaced a second time, by the state, from a camp or settlement.",The commissioner came with a bulldozer and destroyed the shelter.,"qualitative: HRW Somalia, Nigeria",no
4,Threat of human rights violations by authorities,4.8,Banishment or denial of return through security screening,Not why people LEFT but why they cannot go back. The stem 'have you ever left a home due to' misses this.,Because my brother's name was on a list they will not let us back into the neighbourhood.,qualitative: HRW Iraq,no
4,Threat of human rights violations by authorities,4.9,Forced conscription by the state,Fleeing the draft or indefinite national service.,"He would have been taken for national service with no end, so he left.",none,no
4,Threat of human rights violations by authorities,4.10,Surveillance and explicit threat by officials,"No arrest, but a credible warning that compels flight.",They told him to stop working and that they were watching him.,none,no
4,Threat of human rights violations by authorities,4.11,Denial of documentation,"Papers, permits or registration withheld until life becomes unworkable.","They would not give us the papers, so we could not work or travel.",qualitative: HRW Western Tigray,no
4,Threat of human rights violations by authorities,4.12,Forced return or deportation,"Expelled back across a border. Afghanistan's largest current flow, and NO response option covers it.",We were put on a bus at the border and sent back.,none,no
5,Other threats of violence against you,5.1,"Named, addressed personal threat","A message, a mark on the door, a list. Arrives as a personal threat even when the driver is political.",They put a mark on our door and we understood we had to go.,qualitative: OCCRP Venezuela,no
5,Other threats of violence against you,5.2,Sexual and gender-based violence,"Massively under-reported in every source, and straddles codes 3, 4 and 5 depending on perpetrator and motive.",What happened to my daughter meant we could not stay there.,ACLED Sexual violence,partial
5,Other threats of violence against you,5.3,Abduction by non-state actors,Taken by armed or criminal groups rather than authorities.,They took him and we never found out who they were.,ACLED Abduction/forced disappearance,partial
5,Other threats of violence against you,5.4,Blood feud or revenge violence,Inter-family cycles of retaliation that displace whole households.,"After the killing, the other family would come for us.",none,no
5,Other threats of violence against you,5.5,Accusation of witchcraft or ritual violence,Documented as a displacement driver in Haiti; likely present elsewhere and invisible.,They said the old people were doing witchcraft and started killing them.,qualitative: ACLED Haiti,no
5,Other threats of violence against you,5.6,Domestic or intimate-partner violence,"Whether this belongs in a forced-displacement instrument at all is a live question - but people will report it, so enumerators need a rule.",I left because of my husband.,none,no
6,Natural disasters,6.1,"Flood - riverine, flash or coastal",The single largest disaster mechanism worldwide by people displaced.,The water came into the houses and did not go down.,IDMC Flood; DTM Flood,yes
6,Natural disasters,6.2,"Storm, cyclone, typhoon, hurricane",Largest single hazard sub-type in IDMC's data.,The storm took the roof off and the whole area was flattened.,IDMC Typhoon/Hurricane/Cyclone,yes
6,Natural disasters,6.3,Drought and failed rains,Slow-onset. A household that left over three seasons may not describe it as fleeing at all.,"The rains failed three times, the animals died, and there was nothing left.",IDMC Drought; DTM Drought,yes
6,Natural disasters,6.4,Earthquake,"Sudden, and usually followed by a return question rather than a leaving question.",The house came down in the earthquake.,IDMC Earthquake,yes
6,Natural disasters,6.5,Landslide or mass movement,"Often triggered by rain, sometimes by deforestation or quarrying - a code 6/7 boundary case.",The hillside came down onto the houses below.,IDMC Landslide/Wet mass movement,yes
6,Natural disasters,6.6,Volcanic activity,Includes long evacuation periods with no defined return.,The mountain started throwing ash and they moved everybody out.,IDMC Volcanic activity,yes
6,Natural disasters,6.7,Coastal erosion and sea-level rise,The slowest onset of all; displacement is gradual and rarely recorded as an event.,"The sea has taken the land where our house was, a little each year.","IDMC Erosion, Sea level rise",partial
6,Natural disasters,6.8,Extreme temperature,"Cold waves and heat events; small in the data, real for the households affected.",The cold killed the animals and we could not stay through it.,"IDMC Cold wave, Extreme temperature",yes
6,Natural disasters,6.9,Pre-emptive evacuation ahead of a hazard,Left before impact on an official warning. Large in IDMC's flow figures and the most likely mismatch with 'had to flee a home'.,They told us a storm was coming and moved us for a week.,IDMC 'Displacement occurred' flag,yes
7,Man-made events,7.1,Dam construction and reservoir inundation,"Land permanently flooded by a planned reservoir. Merowe 50,000+, Makhoul 100,000+.",They are building a dam and our village will be under the water.,"qualitative: FMR Sudan, Save the Tigris Iraq",no
7,Man-made events,7.2,Mining and quarry concessions,"Communities cleared for extraction, sometimes with houses marked for demolition.",The mining company said the land was theirs and put marks on the houses.,"qualitative: Amnesty DRC, ROAPE Burkina Faso",no
7,Man-made events,7.3,Urban redevelopment and corridor projects,"'Beautification', modernisation and clearance of informal settlements.",They marked our neighbourhood for the new city project and knocked it down.,"qualitative: Amnesty Ethiopia, Nigeria",no
7,Man-made events,7.4,"Transport infrastructure - roads, ports, airports, rail",Route and terminal construction displacing settlements along the line.,They said the village had to go because of the new port.,"qualitative: Cameroon Kribi, DRC Lobito",no
7,Man-made events,7.5,Agricultural concession or plantation,Land allocated to commercial agriculture over existing users.,They took our grazing land along the river for the sugar farm.,qualitative: HRW Lower Omo,no
7,Man-made events,7.6,Industrial pollution or contamination,"Water, soil or air made unusable. Harm is well documented; displacement attribution is thin.","The waste got into the water, the fish and cattle died, and people moved away.","qualitative: Amnesty Niger Delta, RVI South Sudan",no
7,Man-made events,7.7,Oil and gas operations,"Flaring, produced-water discharge and land take around fields.",The gas flare burns beside the houses all night.,qualitative: HRW Iraq,no
7,Man-made events,7.8,Nuclear or industrial accident,"Rare, enormous, permanent. Chornobyl relocated ~350,000 - within a respondent's lifetime.",After the reactor exploded they told us the whole town had to leave and never come back.,qualitative: IAEA,no
7,Man-made events,7.9,Dam release or infrastructure failure,"A structure operating or failing rather than a natural hazard. Counted by IDMC, but filed under Disaster.",They opened the dam and the water came down onto us.,IDMC Dam release flood,yes
7,Man-made events,7.10,Forced eviction from informal settlement,Land cleared for private development. Somalia: 1.5m people affected 2018-2024.,They came early with tractors and pulled down our shelter to build apartments.,qualitative: NRC Somalia,no
7,Man-made events,7.11,Conservation and protected-area displacement,"Communities removed to create or enforce parks and reserves. Documented globally, counted nowhere.",They made it a park and told us we could no longer live or graze inside.,none,no
7,Man-made events,7.12,Subsidence from extraction,Ground collapse caused by mining or groundwater withdrawal.,The ground opened up where they had been pumping.,IDMC Sinkhole,partial
8,A different threat to you or your family's safety,8.1,Open text [SPECIFY],By design this has no sub-taxonomy. Its content IS the enrichment mechanism: verbatim responses here are the only route by which mechanisms nobody has anticipated enter the classification.,-,collect verbatim,no
